max_epoch=200,batch_size=128,lr=0.001000
e	train_loss	train_acc	valid_loss	valid_acc
1	0.037054	0.015000	0.036128	0.056000
2	0.034781	0.035000	0.032465	0.059000
3	0.031832	0.072000	0.029760	0.137000
4	0.029120	0.122000	0.027167	0.189000
5	0.026746	0.173750	0.025069	0.230000
6	0.024753	0.224500	0.023583	0.267000
7	0.022872	0.266250	0.021834	0.316000
8	0.021086	0.329750	0.020232	0.384000
9	0.019838	0.358000	0.019332	0.391000
10	0.018800	0.380750	0.018781	0.437000
11	0.017696	0.425000	0.018115	0.436000
12	0.016637	0.448250	0.017510	0.463000
13	0.015924	0.478000	0.016657	0.466000
14	0.014944	0.500500	0.016963	0.465000
15	0.014574	0.505750	0.015860	0.494000
16	0.013527	0.546500	0.015954	0.480000
17	0.013404	0.541250	0.015433	0.521000
18	0.012686	0.567250	0.015002	0.522000
19	0.012245	0.568750	0.014917	0.522000
20	0.011410	0.602250	0.014651	0.531000
21	0.010983	0.618250	0.014296	0.542000
22	0.010894	0.618500	0.014402	0.534000
23	0.010577	0.633500	0.014420	0.544000
24	0.009896	0.653000	0.013875	0.562000
25	0.009437	0.668250	0.013484	0.573000
26	0.009165	0.682000	0.013794	0.563000
27	0.008594	0.699500	0.013682	0.563000
28	0.008799	0.684500	0.013841	0.564000
29	0.008352	0.694000	0.013376	0.561000
30	0.008242	0.703000	0.013696	0.561000
31	0.007699	0.710250	0.013616	0.571000
32	0.007547	0.729250	0.014026	0.556000
33	0.007251	0.743500	0.013300	0.583000
34	0.006812	0.757250	0.013344	0.586000
35	0.006745	0.752750	0.013837	0.570000
36	0.006776	0.748250	0.013673	0.561000
37	0.006568	0.751500	0.013236	0.584000
38	0.005962	0.770250	0.013591	0.567000
39	0.006061	0.770250	0.013332	0.588000
40	0.005542	0.788250	0.013233	0.577000
41	0.005704	0.789500	0.013133	0.598000
42	0.005131	0.798500	0.013227	0.589000
43	0.005160	0.811750	0.013042	0.605000
44	0.005243	0.800000	0.013180	0.580000
45	0.005122	0.800250	0.013318	0.587000
46	0.004778	0.821250	0.013340	0.591000
47	0.004709	0.824250	0.013164	0.591000
48	0.004823	0.813000	0.013254	0.583000
49	0.004597	0.823750	0.013238	0.603000
50	0.004595	0.826250	0.013519	0.586000
51	0.004672	0.816500	0.013969	0.583000
52	0.004221	0.835000	0.013398	0.589000
53	0.004218	0.835750	0.013792	0.591000
54	0.004124	0.846000	0.013379	0.590000
55	0.004133	0.841500	0.013755	0.594000
56	0.004486	0.828250	0.013833	0.589000
57	0.003811	0.855000	0.013634	0.585000
58	0.003848	0.855000	0.013645	0.593000
59	0.003869	0.850000	0.013832	0.583000
60	0.004197	0.837500	0.013342	0.593000
61	0.003884	0.853500	0.013874	0.585000
62	0.003890	0.854750	0.014331	0.585000
63	0.003864	0.848750	0.013549	0.594000
64	0.003427	0.867750	0.014260	0.590000
65	0.003555	0.856750	0.013996	0.598000
66	0.003561	0.862750	0.013609	0.595000
67	0.003409	0.872000	0.013587	0.590000
68	0.003527	0.861500	0.013964	0.601000
69	0.003228	0.875750	0.013746	0.596000
70	0.003258	0.872500	0.013796	0.582000
71	0.003352	0.869250	0.014206	0.586000
72	0.003474	0.862250	0.013800	0.592000
73	0.002939	0.888750	0.013951	0.607000
74	0.003064	0.875000	0.014747	0.598000
75	0.003266	0.873750	0.014187	0.605000
76	0.002986	0.888000	0.014131	0.609000
77	0.003105	0.879250	0.013964	0.593000
78	0.002810	0.889250	0.014165	0.598000
79	0.002991	0.877750	0.014359	0.592000
80	0.002856	0.888000	0.014437	0.588000
81	0.003026	0.885250	0.013901	0.604000
82	0.003004	0.883500	0.014428	0.603000
83	0.003023	0.881750	0.014694	0.591000
84	0.003197	0.875500	0.014045	0.600000
85	0.002814	0.889250	0.014298	0.609000
86	0.002991	0.882500	0.014430	0.595000
87	0.003102	0.889500	0.014386	0.588000
88	0.003021	0.881000	0.014455	0.605000
89	0.003007	0.878250	0.014599	0.599000
90	0.002782	0.887750	0.014404	0.601000
91	0.002648	0.899000	0.013905	0.612000
92	0.002869	0.887500	0.014431	0.606000
93	0.002625	0.899250	0.014619	0.594000
94	0.002677	0.891500	0.014639	0.597000
95	0.002787	0.887500	0.014941	0.598000
96	0.002658	0.898500	0.014871	0.607000
97	0.002851	0.890500	0.014773	0.607000
98	0.002486	0.903000	0.014941	0.609000
99	0.002863	0.888250	0.014731	0.603000
100	0.002754	0.886500	0.015000	0.587000
101	0.002703	0.891500	0.014722	0.607000
102	0.002808	0.882500	0.014695	0.598000
103	0.002703	0.896750	0.014682	0.600000
104	0.002280	0.915000	0.015239	0.597000
105	0.002578	0.896250	0.014383	0.602000
106	0.002630	0.894250	0.014960	0.593000
107	0.003133	0.878250	0.015188	0.582000
108	0.002889	0.891000	0.015645	0.573000
109	0.002683	0.894500	0.014169	0.602000
110	0.002600	0.899500	0.014772	0.600000
111	0.002568	0.898250	0.014851	0.607000
112	0.002414	0.900750	0.014984	0.602000
113	0.002278	0.910250	0.015082	0.606000
114	0.002463	0.907000	0.014682	0.604000
115	0.002288	0.910750	0.015536	0.598000
116	0.002364	0.906250	0.014791	0.596000
117	0.002528	0.903250	0.014780	0.608000
118	0.002240	0.905250	0.015268	0.603000
119	0.002317	0.913000	0.014818	0.606000
120	0.002294	0.909250	0.015092	0.614000
121	0.002496	0.903500	0.015327	0.603000
122	0.002566	0.902250	0.015525	0.592000
123	0.002760	0.896000	0.015352	0.596000
124	0.002628	0.898750	0.015194	0.598000
125	0.002409	0.907250	0.015133	0.597000
126	0.002338	0.904000	0.015907	0.583000
127	0.002252	0.910000	0.015031	0.611000
128	0.002189	0.915000	0.014722	0.605000
129	0.002233	0.914250	0.015973	0.605000
130	0.002301	0.909000	0.015078	0.606000
131	0.002137	0.910250	0.014924	0.612000
132	0.001812	0.925000	0.015504	0.599000
133	0.001933	0.931500	0.015832	0.595000
134	0.002174	0.917000	0.015200	0.600000
135	0.002334	0.908000	0.015205	0.607000
136	0.002435	0.907750	0.015454	0.590000
137	0.002545	0.900250	0.015495	0.584000
138	0.002487	0.905500	0.015250	0.610000
139	0.002368	0.914000	0.015239	0.605000
140	0.002319	0.908250	0.015846	0.589000
141	0.002558	0.901500	0.015392	0.594000
142	0.001937	0.924250	0.015481	0.615000
143	0.002178	0.916000	0.015433	0.607000
144	0.002542	0.899750	0.015184	0.603000
145	0.002426	0.905250	0.015413	0.604000
146	0.002187	0.914000	0.015724	0.604000
147	0.002526	0.898500	0.015257	0.611000
148	0.002625	0.890000	0.016078	0.597000
149	0.002373	0.907000	0.015418	0.598000
150	0.002313	0.908750	0.015542	0.600000
151	0.002469	0.906000	0.015067	0.588000
152	0.002500	0.909500	0.014865	0.592000
153	0.002384	0.905500	0.015433	0.597000
154	0.002566	0.898500	0.015086	0.602000
155	0.002304	0.903750	0.015435	0.591000
156	0.002302	0.909500	0.015248	0.599000
157	0.002350	0.907750	0.015274	0.607000
158	0.002720	0.895250	0.016232	0.593000
159	0.002332	0.909000	0.014868	0.608000
160	0.002243	0.910500	0.015283	0.610000
161	0.002040	0.920250	0.015573	0.598000
162	0.002113	0.916250	0.015454	0.608000
163	0.002013	0.920250	0.016126	0.604000
164	0.002068	0.920500	0.015714	0.603000
165	0.002110	0.923000	0.015258	0.612000
166	0.002196	0.914500	0.015471	0.606000
167	0.002117	0.918250	0.015738	0.602000
168	0.002082	0.918500	0.016105	0.604000
169	0.002098	0.913750	0.015777	0.596000
170	0.001911	0.928750	0.016449	0.606000
171	0.002195	0.914250	0.016044	0.604000
172	0.002448	0.913250	0.016048	0.605000
173	0.001875	0.922500	0.015978	0.602000
174	0.002103	0.918250	0.015900	0.601000
175	0.002271	0.913250	0.016025	0.600000
176	0.002221	0.908250	0.016144	0.600000
177	0.001991	0.922500	0.015936	0.611000
178	0.001995	0.917750	0.015892	0.599000
179	0.002085	0.923250	0.015604	0.596000
180	0.002045	0.920000	0.015483	0.603000
181	0.002025	0.929000	0.015816	0.610000
182	0.002333	0.908500	0.016031	0.604000
183	0.002066	0.917750	0.016504	0.600000
184	0.001959	0.917750	0.016776	0.587000
185	0.002065	0.915500	0.016142	0.607000
186	0.001943	0.927750	0.016395	0.612000
187	0.002249	0.910750	0.016295	0.598000
188	0.002264	0.913000	0.016074	0.601000
189	0.002247	0.910250	0.016035	0.602000
190	0.002014	0.919750	0.016033	0.608000
191	0.002030	0.923250	0.016057	0.604000
192	0.002094	0.918750	0.015726	0.609000
193	0.001873	0.928000	0.015933	0.613000
194	0.002040	0.921250	0.015556	0.606000
195	0.001984	0.921000	0.015702	0.597000
196	0.001804	0.928750	0.015370	0.604000
197	0.002046	0.922250	0.015814	0.596000
198	0.002205	0.915750	0.016024	0.582000
199	0.001973	0.923250	0.016222	0.588000
200	0.002091	0.917250	0.015220	0.603000
