max_epoch=200,batch_size=256,lr=0.001000
e	train_loss	train_acc	valid_loss	valid_acc
144	0.000781	0.940000	0.007390	0.620000
145	0.000774	0.945500	0.007239	0.619000
146	0.000678	0.949250	0.007683	0.612000
147	0.000777	0.939750	0.007630	0.615000
148	0.000808	0.938000	0.007555	0.606000
149	0.000766	0.937250	0.007431	0.618000
150	0.000728	0.943500	0.007377	0.606000
151	0.000770	0.941500	0.007427	0.618000
152	0.000743	0.937750	0.007749	0.611000
153	0.000831	0.935500	0.007383	0.615000
154	0.000775	0.941750	0.007437	0.610000
155	0.000725	0.939000	0.007643	0.603000
156	0.000757	0.940250	0.007691	0.599000
157	0.000804	0.941000	0.007648	0.612000
158	0.000755	0.942250	0.007631	0.610000
159	0.000878	0.929750	0.007434	0.596000
160	0.000810	0.940250	0.007876	0.614000
161	0.000779	0.940000	0.007639	0.625000
162	0.000797	0.938250	0.007473	0.622000
163	0.000810	0.943250	0.007319	0.615000
164	0.000742	0.945250	0.007437	0.621000
165	0.000844	0.934250	0.007536	0.611000
166	0.000780	0.940750	0.008012	0.616000
167	0.000716	0.946250	0.007549	0.619000
168	0.000702	0.944750	0.007908	0.605000
169	0.000717	0.944500	0.007723	0.626000
170	0.000739	0.941250	0.007621	0.615000
171	0.000633	0.949250	0.007689	0.615000
172	0.000695	0.951500	0.007682	0.629000
173	0.000664	0.945500	0.007695	0.622000
174	0.000707	0.948000	0.007706	0.621000
175	0.000686	0.946250	0.007843	0.625000
176	0.000660	0.947000	0.007691	0.612000
177	0.000618	0.948250	0.007755	0.620000
178	0.000602	0.949250	0.007907	0.629000
179	0.000617	0.952750	0.007861	0.617000
180	0.000643	0.949500	0.007756	0.630000
181	0.000668	0.949250	0.007889	0.627000
182	0.000645	0.951500	0.007990	0.624000
183	0.000630	0.948750	0.008122	0.609000
184	0.000686	0.945500	0.007691	0.616000
185	0.000721	0.943250	0.008027	0.617000
186	0.000678	0.946750	0.007726	0.611000
187	0.000632	0.949250	0.007766	0.617000
188	0.000580	0.956000	0.008229	0.626000
189	0.000710	0.944750	0.008066	0.615000
190	0.000727	0.938250	0.007949	0.608000
191	0.000675	0.947500	0.008187	0.607000
192	0.000595	0.951250	0.007959	0.612000
193	0.000719	0.946750	0.007557	0.628000
194	0.000673	0.948500	0.007985	0.613000
195	0.000716	0.945250	0.007845	0.622000
196	0.000727	0.939500	0.007701	0.619000
197	0.000630	0.953000	0.007950	0.631000
198	0.000717	0.941750	0.007898	0.614000
199	0.000671	0.952250	0.008062	0.610000
200	0.000636	0.948250	0.007793	0.616000
