max_epoch=200,batch_size=256,lr=0.001000
e	train_loss	train_acc	valid_loss	valid_acc
1	0.018245	0.027250	0.017695	0.064000
2	0.016386	0.093250	0.015362	0.119000
3	0.014314	0.184000	0.013646	0.184000
4	0.012371	0.267500	0.012261	0.274000
5	0.010745	0.360250	0.011166	0.321000
6	0.009414	0.433250	0.010356	0.369000
7	0.008402	0.490500	0.009860	0.374000
8	0.007418	0.553750	0.009520	0.384000
9	0.006659	0.589250	0.009026	0.435000
10	0.006066	0.621000	0.008473	0.456000
11	0.005444	0.660250	0.008561	0.456000
12	0.005080	0.680500	0.008173	0.489000
13	0.004574	0.717750	0.007977	0.498000
14	0.004281	0.731250	0.008102	0.494000
15	0.003935	0.758250	0.007935	0.500000
16	0.003568	0.779250	0.007937	0.505000
17	0.003297	0.792000	0.007692	0.517000
18	0.002994	0.818250	0.007865	0.500000
19	0.002806	0.827750	0.007570	0.529000
20	0.002561	0.846750	0.007603	0.530000
21	0.002430	0.854750	0.007559	0.534000
22	0.002193	0.862750	0.007269	0.538000
23	0.001959	0.886000	0.007342	0.554000
24	0.001784	0.901500	0.007284	0.549000
25	0.001709	0.904000	0.007499	0.541000
26	0.001519	0.918000	0.007388	0.565000
27	0.001355	0.931750	0.007494	0.550000
28	0.001348	0.930250	0.008084	0.541000
29	0.001353	0.925500	0.007538	0.556000
30	0.001033	0.955000	0.007588	0.558000
31	0.000872	0.970000	0.007501	0.561000
32	0.000794	0.969000	0.007532	0.574000
33	0.000705	0.978250	0.007528	0.575000
34	0.000615	0.985500	0.007688	0.584000
35	0.000550	0.989500	0.007849	0.569000
36	0.000538	0.988250	0.007809	0.568000
37	0.000454	0.991500	0.007839	0.574000
38	0.000435	0.992000	0.007886	0.575000
39	0.000433	0.989500	0.008139	0.560000
40	0.000401	0.991000	0.008001	0.580000
41	0.000338	0.996750	0.008210	0.580000
42	0.000375	0.994250	0.008212	0.574000
43	0.000328	0.995500	0.008059	0.578000
44	0.000277	0.997250	0.008269	0.580000
45	0.000220	0.999250	0.008161	0.580000
46	0.000180	0.999250	0.008155	0.595000
47	0.000177	0.999750	0.008245	0.584000
48	0.000171	0.999000	0.008526	0.577000
49	0.000181	0.999500	0.008427	0.580000
50	0.000161	1.000000	0.008581	0.589000
51	0.000148	1.000000	0.008414	0.594000
52	0.000137	0.999500	0.008448	0.595000
53	0.000126	0.999750	0.008557	0.586000
54	0.000126	1.000000	0.008725	0.582000
55	0.000120	1.000000	0.008653	0.581000
56	0.000103	1.000000	0.008609	0.584000
57	0.000095	1.000000	0.008595	0.601000
58	0.000087	1.000000	0.008597	0.591000
59	0.000081	1.000000	0.008756	0.593000
60	0.000082	0.999750	0.008747	0.595000
61	0.000078	1.000000	0.008821	0.593000
62	0.000072	1.000000	0.008810	0.594000
63	0.000067	1.000000	0.008868	0.588000
64	0.000065	1.000000	0.008823	0.591000
65	0.000060	1.000000	0.008934	0.587000
66	0.000055	1.000000	0.008926	0.596000
67	0.000051	1.000000	0.008972	0.593000
68	0.000052	1.000000	0.008997	0.587000
69	0.000051	1.000000	0.009014	0.598000
70	0.000052	1.000000	0.009012	0.588000
71	0.000052	1.000000	0.009138	0.582000
72	0.000051	1.000000	0.009351	0.581000
73	0.000048	1.000000	0.009263	0.591000
74	0.000043	1.000000	0.009110	0.586000
75	0.000041	1.000000	0.009171	0.593000
76	0.000037	1.000000	0.009282	0.593000
77	0.000041	1.000000	0.009275	0.592000
78	0.000038	1.000000	0.009273	0.592000
79	0.000035	1.000000	0.009280	0.591000
80	0.000035	1.000000	0.009338	0.593000
81	0.000031	1.000000	0.009325	0.595000
82	0.000031	1.000000	0.009336	0.597000
83	0.000032	1.000000	0.009375	0.603000
84	0.000031	1.000000	0.009415	0.596000
85	0.000028	1.000000	0.009381	0.598000
86	0.000027	1.000000	0.009424	0.594000
87	0.000029	1.000000	0.009489	0.596000
88	0.000028	1.000000	0.009484	0.601000
89	0.000027	1.000000	0.009473	0.593000
90	0.000027	1.000000	0.009501	0.593000
91	0.000028	1.000000	0.009518	0.601000
92	0.000025	1.000000	0.009575	0.602000
93	0.000022	1.000000	0.009590	0.592000
94	0.000021	1.000000	0.009553	0.601000
95	0.000022	1.000000	0.009639	0.591000
96	0.000021	1.000000	0.009644	0.594000
97	0.000021	1.000000	0.009706	0.600000
98	0.000020	1.000000	0.009724	0.591000
99	0.000018	1.000000	0.009728	0.599000
100	0.000019	1.000000	0.009698	0.597000
101	0.000019	1.000000	0.009769	0.592000
102	0.000018	1.000000	0.009775	0.599000
103	0.000018	1.000000	0.009819	0.594000
104	0.000018	1.000000	0.009805	0.601000
105	0.000017	1.000000	0.009853	0.592000
106	0.000017	1.000000	0.009843	0.592000
107	0.000016	1.000000	0.009872	0.599000
108	0.000016	1.000000	0.009913	0.598000
109	0.000016	1.000000	0.009955	0.593000
110	0.000017	1.000000	0.010001	0.586000
111	0.000014	1.000000	0.009921	0.594000
112	0.000015	1.000000	0.009974	0.599000
113	0.000014	1.000000	0.009978	0.600000
114	0.000015	1.000000	0.010029	0.597000
115	0.000014	1.000000	0.010030	0.595000
116	0.000016	1.000000	0.010051	0.593000
117	0.000015	1.000000	0.010135	0.588000
118	0.000015	1.000000	0.010040	0.595000
