max_epoch=200,batch_size=128,lr=0.001000
e	train_loss	train_acc	valid_loss	valid_acc
1	0.035627	0.032000	0.032733	0.057000
2	0.029703	0.121000	0.027665	0.165000
3	0.023847	0.269250	0.024220	0.258000
4	0.020220	0.372500	0.021139	0.326000
5	0.016588	0.477750	0.020114	0.378000
6	0.014693	0.526750	0.019288	0.399000
7	0.012166	0.606250	0.016549	0.465000
8	0.010423	0.666000	0.016725	0.471000
9	0.009278	0.690500	0.017117	0.467000
10	0.008377	0.725250	0.016232	0.499000
11	0.007616	0.738750	0.015876	0.519000
12	0.006198	0.802250	0.015335	0.528000
13	0.005335	0.829750	0.014718	0.539000
14	0.005144	0.829000	0.014877	0.537000
15	0.004130	0.868500	0.015163	0.543000
16	0.003568	0.883500	0.015842	0.540000
17	0.003103	0.905250	0.014857	0.573000
18	0.002568	0.918250	0.015312	0.548000
19	0.002344	0.931750	0.015771	0.546000
20	0.002132	0.940750	0.015817	0.552000
21	0.001751	0.950250	0.015257	0.579000
22	0.001553	0.961750	0.016704	0.555000
23	0.001476	0.962250	0.016660	0.555000
24	0.001140	0.972000	0.016852	0.562000
25	0.000844	0.984250	0.016101	0.592000
26	0.000542	0.995000	0.016249	0.589000
27	0.000532	0.992500	0.016608	0.593000
28	0.000662	0.986000	0.017543	0.562000
29	0.000539	0.993750	0.016611	0.580000
30	0.000481	0.994500	0.017209	0.574000
31	0.000787	0.979750	0.016629	0.584000
32	0.000564	0.989250	0.016793	0.573000
33	0.000295	0.997000	0.017218	0.584000
34	0.000230	0.998250	0.017714	0.570000
35	0.000352	0.993250	0.017600	0.562000
36	0.000239	0.998500	0.017162	0.598000
37	0.000299	0.994250	0.017317	0.588000
38	0.000305	0.995500	0.017535	0.586000
39	0.000241	0.996500	0.017484	0.583000
40	0.000133	0.999500	0.017471	0.600000
41	0.000116	0.999250	0.017533	0.594000
42	0.000071	1.000000	0.018009	0.602000
43	0.000094	0.999500	0.017780	0.598000
44	0.000069	1.000000	0.017915	0.596000
45	0.000059	0.999750	0.018121	0.594000
46	0.000042	0.999750	0.018001	0.602000
47	0.000045	0.999750	0.018476	0.599000
48	0.000128	0.998500	0.018466	0.589000
49	0.000092	0.999500	0.018504	0.587000
50	0.000421	0.990000	0.018160	0.562000
51	0.000598	0.988500	0.022002	0.542000
52	0.001800	0.941000	0.020100	0.535000
53	0.001731	0.937250	0.018466	0.562000
54	0.000681	0.976750	0.019197	0.563000
55	0.000394	0.990500	0.018954	0.572000
56	0.000185	0.996750	0.019053	0.582000
57	0.000101	0.998750	0.019406	0.600000
58	0.000143	0.997750	0.019463	0.584000
59	0.000076	0.999250	0.019083	0.612000
60	0.000032	1.000000	0.019191	0.615000
61	0.000026	1.000000	0.019798	0.613000
62	0.000016	1.000000	0.019598	0.619000
63	0.000015	1.000000	0.019873	0.614000
64	0.000017	1.000000	0.019892	0.613000
65	0.000024	1.000000	0.020108	0.612000
66	0.000113	0.997750	0.019856	0.594000
67	0.000356	0.990000	0.019786	0.578000
68	0.000252	0.993500	0.019807	0.574000
69	0.000162	0.997250	0.020057	0.594000
70	0.000156	0.995250	0.020642	0.580000
71	0.000215	0.994000	0.019686	0.591000
72	0.000134	0.997000	0.020545	0.585000
73	0.000175	0.994500	0.019840	0.580000
74	0.000190	0.995500	0.019955	0.572000
75	0.000092	0.998500	0.020289	0.582000
76	0.000397	0.988500	0.019788	0.564000
77	0.000276	0.992000	0.020100	0.587000
78	0.000245	0.994750	0.021054	0.575000
79	0.000229	0.993250	0.020073	0.583000
80	0.000756	0.972750	0.021756	0.554000
81	0.001931	0.928500	0.021990	0.519000
82	0.000781	0.969250	0.025253	0.522000
83	0.000479	0.982500	0.019707	0.580000
84	0.000354	0.985500	0.021920	0.557000
85	0.000301	0.989000	0.020957	0.576000
86	0.000084	0.998250	0.020853	0.599000
87	0.000031	1.000000	0.020887	0.606000
88	0.000050	0.999000	0.021304	0.601000
89	0.000061	0.999000	0.021507	0.589000
90	0.000019	0.999750	0.020812	0.600000
91	0.000008	1.000000	0.020777	0.608000
92	0.000006	1.000000	0.020838	0.611000
93	0.000008	1.000000	0.021265	0.613000
94	0.000036	0.999000	0.021796	0.602000
95	0.000035	0.999500	0.021163	0.597000
96	0.000009	1.000000	0.020967	0.609000
97	0.000005	1.000000	0.021084	0.608000
98	0.000004	1.000000	0.021161	0.613000
99	0.000004	1.000000	0.021277	0.607000
100	0.000004	1.000000	0.021573	0.609000
101	0.000004	1.000000	0.021660	0.609000
102	0.000003	1.000000	0.021758	0.608000
103	0.000003	1.000000	0.021852	0.616000
104	0.000003	1.000000	0.022077	0.611000
105	0.000002	1.000000	0.022050	0.617000
106	0.000004	1.000000	0.021992	0.617000
107	0.000012	1.000000	0.023056	0.597000
108	0.000122	0.996750	0.022290	0.572000
109	0.000955	0.962750	0.022993	0.519000
110	0.001280	0.949000	0.023803	0.510000
111	0.001211	0.950750	0.019948	0.566000
112	0.000644	0.977000	0.025166	0.521000
113	0.000983	0.959750	0.021921	0.536000
114	0.000482	0.981750	0.023621	0.527000
115	0.000191	0.993500	0.022919	0.581000
116	0.000142	0.996500	0.023903	0.564000
117	0.000343	0.989500	0.023118	0.554000
118	0.000122	0.996250	0.022150	0.579000
119	0.000042	0.999000	0.022732	0.592000
120	0.000008	1.000000	0.021905	0.598000
121	0.000004	1.000000	0.022003	0.603000
122	0.000005	1.000000	0.022403	0.584000
123	0.000009	1.000000	0.022864	0.596000
124	0.000010	0.999500	0.023221	0.593000
125	0.000008	1.000000	0.022949	0.594000
126	0.000005	1.000000	0.023035	0.593000
127	0.000002	1.000000	0.022819	0.591000
128	0.000002	1.000000	0.022808	0.601000
129	0.000003	1.000000	0.022908	0.594000
130	0.000007	0.999750	0.024293	0.585000
131	0.000006	1.000000	0.023607	0.575000
132	0.000006	1.000000	0.022851	0.603000
133	0.000002	1.000000	0.023003	0.593000
134	0.000003	1.000000	0.023173	0.597000
135	0.000017	0.999250	0.025540	0.565000
136	0.000061	0.998500	0.026802	0.564000
137	0.001091	0.960750	0.025282	0.494000
138	0.001097	0.959000	0.027724	0.481000
